행정기관코드,기준연월,시도명,시군구명,읍면동명,계,남자,여자,가임여성 수,유아인구,출산율,0대남자,10대남자,20대남자,30대남자,40대남자,50대남자,60대남자,70대남자,80대이상남자,0대여자,10대여자,20대여자,30대여자,40대여자,50대여자,60대여자,70대여자,80대이상여자
4113151000,45412,경기도,성남시 수정구,신흥1동,12513,6634,5879,2301,53,0.230334637,160,312,881,1014,997,1324,1248,502,196,156,282,748,684,696,1018,1237,667,391
4113152000,45412,경기도,성남시 수정구,신흥2동,31162,15156,16006,7713,630,0.8168028,1515,1103,1737,2945,2472,2230,1978,899,277,1510,1095,1698,3037,2394,2587,2236,1001,448
4113153000,45412,경기도,성남시 수정구,신흥3동,10838,5823,5015,2081,57,0.273906776,156,274,776,873,849,1224,1049,443,179,155,253,681,616,642,875,945,546,302
4113154000,45412,경기도,성남시 수정구,태평1동,14217,7375,6842,2896,67,0.231353591,165,358,1295,1147,1004,1258,1194,658,296,188,289,1135,813,774,1141,1203,836,463
4113155000,45412,경기도,성남시 수정구,태평2동,14265,7187,7078,2911,97,0.333218825,253,444,1093,1117,986,1331,1164,557,242,279,394,941,906,842,1293,1212,731,480
4113156000,45412,경기도,성남시 수정구,태평3동,12323,6341,5982,2313,49,0.211846087,188,372,887,899,837,1217,1218,531,192,197,377,680,697,738,1102,1150,659,382
4113156100,45412,경기도,성남시 수정구,태평4동,11585,5974,5611,2341,49,0.20931226,207,453,907,832,819,1130,953,460,213,174,408,785,595,741,1022,942,567,377
4113157000,45412,경기도,성남시 수정구,수진1동,11365,6010,5355,1834,39,0.212649945,119,270,782,831,768,1239,1230,573,198,108,239,596,550,560,1021,1184,696,401
4113158000,45412,경기도,성남시 수정구,수진2동,14913,7580,7333,2897,82,0.283051433,270,448,1037,1087,1014,1310,1395,719,300,240,441,932,801,936,1246,1434,863,440
4113159000,45412,경기도,성남시 수정구,단대동,14512,7157,7355,3074,124,0.403383214,394,586,902,1052,1090,1240,1127,540,226,368,509,892,927,1000,1280,1223,747,409
