행정기관코드,기준연월,시도명,시군구명,읍면동명,계,남자,여자,가임여성 수,유아인구,출산율,0대남자,10대남자,20대남자,30대남자,40대남자,50대남자,60대남자,70대남자,80대이상남자,0대여자,10대여자,20대여자,30대여자,40대여자,50대여자,60대여자,70대여자,80대이상여자
1111051500,2024.4.30,서울특별시,종로구,청운효자동,11240,5117,6123,2851,41,0.14380919,294,540,667,673,805,860,658,368,252,269,529,701,825,1043,1048,776,544,388
1111053000,2024.4.30,서울특별시,종로구,사직동,8983,3945,5038,2419,17,0.070276974,225,260,424,626,604,675,586,294,251,225,378,613,805,800,781,675,407,354
1111054000,2024.4.30,서울특별시,종로구,삼청동,2224,1055,1169,461,6,0.130151844,37,92,117,131,152,158,176,118,74,44,68,118,155,155,181,203,136,109
1111055000,2024.4.30,서울특별시,종로구,부암동,9065,4270,4795,2083,22,0.105616899,191,442,530,557,626,732,634,350,208,191,362,527,599,762,879,743,405,327
1111056000,2024.4.30,서울특별시,종로구,평창동,17279,8005,9274,3843,59,0.153525891,525,716,967,978,1106,1357,1333,648,375,444,808,997,1068,1358,1733,1500,767,599
1111057000,2024.4.30,서울특별시,종로구,무악동,7964,3652,4312,1820,22,0.120879121,233,393,391,379,604,718,515,264,155,288,545,428,437,691,721,592,338,272
1111058000,2024.4.30,서울특별시,종로구,교남동,9699,4447,5252,2496,54,0.216346154,360,367,515,641,790,788,539,280,167,370,408,606,769,905,846,658,427,263
1111060000,2024.4.30,서울특별시,종로구,가회동,3831,1793,2038,878,10,0.113895216,91,155,189,250,284,324,253,156,91,60,144,217,274,316,359,296,205,167
1111061500,2024.4.30,서울특별시,종로구,종로1.2.3.4가동,6710,4032,2678,1291,11,0.085205267,84,108,476,564,513,727,915,432,213,70,110,503,409,321,353,425,273,214
1111063000,2024.4.30,서울특별시,종로구,종로5.6가동,5349,2809,2540,1333,7,0.052513128,66,86,528,507,316,484,473,222,127,78,107,631,393,252,355,330,246,148
1111064000,2024.4.30,서울특별시,종로구,이화동,6987,3272,3715,2003,10,0.049925112,83,167,696,601,387,495,453,253,137,81,155,888,626,392,511,491,318,253
1111065000,2024.4.30,서울특별시,종로구,혜화동,15988,7715,8273,4465,33,0.073908175,241,625,2169,1071,890,1132,837,425,325,253,629,2181,950,962,1223,891,655,529
1111067000,2024.4.30,서울특별시,종로구,창신제1동,4519,2391,2128,783,7,0.089399745,53,95,278,334,271,432,570,253,105,50,78,259,261,220,403,436,250,171
1111068000,2024.4.30,서울특별시,종로구,창신제2동,7442,3838,3604,1249,10,0.080064051,78,168,470,525,440,859,773,359,166,73,160,443,369,340,790,727,412,290
1111069000,2024.4.30,서울특별시,종로구,창신제3동,6309,3106,3203,1340,26,0.194029851,148,216,417,455,403,563,554,233,117,132,204,379,447,398,606,541,284,212
1111070000,2024.4.30,서울특별시,종로구,숭인제1동,5804,2806,2998,1255,18,0.143426295,96,166,337,403,420,554,474,251,105,97,158,380,410,380,541,518,289,225
1111071000,2024.4.30,서울특별시,종로구,숭인제2동,10039,4885,5154,3073,15,0.048812236,96,134,976,980,572,824,759,388,156,91,153,1540,961,470,703,648,359,229
1114052000,45412,서울특별시,중구,소공동,2189,1034,1155,683,10,0.146412884,79,52,78,216,245,165,122,52,25,67,90,142,230,271,158,103,59,35
1114054000,45412,서울특별시,중구,회현동,4349,2295,2054,759,10,0.131752306,80,97,214,249,283,419,552,264,137,76,93,204,273,237,362,386,252,171
1114055000,45412,서울특별시,중구,명동,2607,1088,1519,618,4,0.064724919,34,50,141,183,140,206,188,105,41,23,71,193,167,209,248,292,175,141
1114057000,45412,서울특별시,중구,필동,4267,2195,2072,1107,9,0.081300813,69,103,379,446,289,333,312,168,96,65,104,410,400,237,243,297,165,151
1114058000,45412,서울특별시,중구,장충동,4567,2380,2187,1181,16,0.135478408,72,140,681,393,262,303,269,162,98,60,157,554,276,246,276,261,199,158
1114059000,45412,서울특별시,중구,광희동,5808,2853,2955,1720,17,0.098837209,63,92,481,655,356,400,468,242,96,61,95,744,600,314,343,378,263,157
1114060500,45412,서울특별시,중구,을지로동,3108,1695,1413,897,17,0.189520624,59,32,171,523,247,227,263,120,53,73,42,237,429,207,145,132,92,56
1114061500,45412,서울특별시,중구,신당동,7422,3614,3808,1929,13,0.067392431,95,112,539,651,516,656,588,318,139,126,134,742,671,442,547,554,342,250
1114062500,45412,서울특별시,중구,다산동,13213,6399,6814,3131,32,0.102203769,224,364,972,1122,859,1062,965,556,275,202,315,1052,1053,847,1078,1122,655,490
1114063500,45412,서울특별시,중구,약수동,16100,7426,8674,3444,67,0.194541231,389,446,847,1110,1039,1229,1238,728,400,406,420,930,1199,1111,1439,1462,966,741
1114064500,45412,서울특별시,중구,청구동,12918,6090,6828,2908,66,0.22696011,314,370,754,1052,808,1003,997,520,272,307,350,824,1096,813,1130,1088,684,536
1114065000,45412,서울특별시,중구,신당제5동,10171,4922,5249,2557,44,0.172076652,221,240,644,911,734,907,730,357,178,220,272,811,918,682,833,742,475,296
