행정기관코드,기준연월,시도명,시군구명,읍면동명,계,남자,여자,가임여성 수,유아인구,출산율,0대남자,10대남자,20대남자,30대남자,40대남자,50대남자,60대남자,70대남자,80대이상남자,0대여자,10대여자,20대여자,30대여자,40대여자,50대여자,60대여자,70대여자,80대이상여자
4146125000,45412,경기도,용인시 처인구,포곡읍,32316,16700,15616,6927,203,0.293056157,800,1889,2439,1956,2680,3256,2312,945,423,725,1699,1936,1486,2596,2977,2169,1191,837
4146125300,45412,경기도,용인시 처인구,모현읍,26045,13588,12457,5137,144,0.280319252,671,1276,1729,1426,2185,2639,2222,1034,406,649,1120,1423,1194,1965,2276,2041,1059,730
4146125600,45412,경기도,용인시 처인구,이동읍,19826,10236,9590,3473,110,0.316729053,543,864,1130,1252,1612,1975,1778,752,330,534,807,835,898,1345,1780,1741,924,726
4146125900,45412,경기도,용인시 처인구,남사읍,23715,12028,11687,5047,284,0.562710521,1292,1300,827,1658,2490,1680,1556,905,320,1242,1331,687,1575,2277,1549,1587,910,529
4146134000,45412,경기도,용인시 처인구,원삼면,7809,4138,3671,1046,28,0.267686424,116,339,364,356,472,790,956,509,236,116,251,261,247,403,648,866,499,380
4146135000,45412,경기도,용인시 처인구,백암면,7969,4319,3650,940,30,0.319148936,97,204,399,387,553,849,1038,536,256,89,164,251,247,347,576,944,512,520
4146136000,45412,경기도,용인시 처인구,양지면,19991,10689,9302,3777,164,0.434207043,549,1024,1262,1483,1691,1889,1783,721,287,512,794,963,1058,1358,1774,1596,685,562
4146151000,45412,경기도,용인시 처인구,중앙동,25981,13198,12783,5812,209,0.359600826,700,1057,2253,1985,1966,2268,1854,777,338,712,1041,1935,1518,1830,2216,1874,1009,648
4146152500,45412,경기도,용인시 처인구,역북동,35325,17803,17522,9265,517,0.558014031,1694,1789,2921,2942,3249,2492,1683,734,299,1578,1737,2646,2782,3014,2639,1792,864,470
4146152600,45412,경기도,용인시 처인구,삼가동,12205,6041,6164,2748,124,0.451237263,404,609,941,759,887,1148,782,359,152,414,552,797,736,917,1260,816,422,250
4146153000,45412,경기도,용인시 처인구,유림동,41685,21159,20526,9867,501,0.507753116,1746,2283,2711,3078,3790,3792,2359,960,440,1643,2168,2323,2849,3588,3694,2351,1172,738
4146154000,45412,경기도,용인시 처인구,동부동,12608,6487,6121,2306,54,0.234171726,265,528,877,746,883,1282,1167,536,203,231,457,692,591,795,1258,1128,617,352
4146351000,45412,경기도,용인시 기흥구,신갈동,37078,18509,18569,8706,483,0.5547898,1295,1676,2347,2936,3014,3223,2363,1029,626,1252,1607,2331,2676,2900,3206,2257,1423,917
4146351600,45412,경기도,용인시 기흥구,영덕1동,33867,16802,17065,8277,357,0.431315694,1408,2035,2104,2401,3031,3069,1814,681,259,1352,1889,1982,2226,3151,3198,1940,828,499
4146351700,45412,경기도,용인시 기흥구,영덕2동,19189,9487,9702,4559,308,0.675586751,1008,681,1202,1685,1671,1469,1056,419,296,962,669,1053,1687,1508,1607,1189,475,552
4146352000,45412,경기도,용인시 기흥구,구갈동,40828,20554,20274,10510,507,0.482397716,1668,1750,3228,3290,3632,3444,2187,923,432,1510,1680,3071,3266,3383,3489,2099,1148,628
4146353000,45412,경기도,용인시 기흥구,상갈동,12828,6672,6156,2841,121,0.425906371,369,530,1043,1008,1025,1285,762,402,248,317,517,798,819,938,1126,774,520,347
4146353500,45412,경기도,용인시 기흥구,보라동,32735,16198,16537,7455,260,0.348759222,1083,2140,2064,1606,2783,3009,1861,1061,591,1045,2021,1867,1609,2931,3008,1962,1299,795
4146354000,45412,경기도,용인시 기흥구,기흥동,21223,10504,10719,4502,159,0.353176366,635,1008,1365,1359,1731,1790,1497,735,384,659,997,1112,1178,1751,1922,1611,927,562
4146355000,45412,경기도,용인시 기흥구,서농동,25139,12820,12319,6563,310,0.472344964,1114,1395,2633,1912,2295,1724,1136,438,173,1115,1434,1924,1769,2224,1785,1233,547,288
