행정기관코드,기준연월,시도명,시군구명,읍면동명,계,남자,여자,가임여성 수,유아인구,출산율,0대남자,10대남자,20대남자,30대남자,40대남자,50대남자,60대남자,70대남자,80대이상남자,0대여자,10대여자,20대여자,30대여자,40대여자,50대여자,60대여자,70대여자,80대이상여자
4111156000,45412,경기도,수원시 장안구,파장동,24960,12616,12344,5160,242,0.468992248,730,950,1673,1894,1861,2359,1984,811,354,714,915,1350,1591,1749,2300,1992,1018,715
4111156600,45412,경기도,수원시 장안구,율천동,40197,21275,18922,9629,315,0.327136774,1081,1842,5772,3011,2745,3256,2312,846,410,1068,1727,3646,2321,2709,3411,2245,1039,756
4111157100,45412,경기도,수원시 장안구,정자1동,30345,14841,15504,7117,279,0.392019109,1076,1737,2003,1934,2404,2796,1796,740,355,1073,1588,1784,1913,2593,2936,2008,946,663
4111157200,45412,경기도,수원시 장안구,정자2동,38403,18826,19577,9355,416,0.444681988,1499,2028,2465,2733,3210,3319,2162,937,473,1459,1961,2461,2592,3309,3353,2317,1242,883
4111157300,45412,경기도,수원시 장안구,정자3동,39301,19659,19642,10134,279,0.275310835,1209,3029,3085,2151,3120,4014,2121,614,316,1062,2808,2809,2013,3746,3982,1838,771,613
4111158000,45412,경기도,수원시 장안구,영화동,18408,9414,8994,3245,82,0.252696456,265,505,1097,1244,1317,1840,1877,897,372,295,473,971,941,1064,1686,1920,1056,588
4111159100,45412,경기도,수원시 장안구,송죽동,18374,9096,9278,4009,131,0.326764779,392,794,1286,1294,1340,1657,1473,586,274,406,723,1201,1116,1293,1796,1536,693,514
4111159700,45412,경기도,수원시 장안구,조원1동,28313,14195,14118,5959,191,0.320523578,690,1216,2010,1917,2027,2607,2247,1015,466,610,1125,1849,1585,1925,2676,2264,1217,867
4111159800,45412,경기도,수원시 장안구,조원2동,17660,8418,9242,3837,141,0.36747459,477,895,1173,959,1040,1601,1412,500,361,477,876,1143,994,1247,1979,1323,601,602
4111160000,45412,경기도,수원시 장안구,연무동,17356,8890,8466,3431,122,0.355581463,341,514,1540,1299,1177,1493,1393,756,377,333,474,1233,977,942,1299,1602,915,691
4111352000,45412,경기도,수원시 권선구,세류1동,9685,4871,4814,2138,126,0.589335828,304,327,680,835,761,777,723,315,149,317,273,610,756,641,866,719,408,224
4111353000,45412,경기도,수원시 권선구,세류2동,22719,11778,10941,4700,150,0.319148936,408,703,1774,1931,1834,2108,1846,831,343,414,657,1514,1414,1442,1967,1936,993,604
4111354000,45412,경기도,수원시 권선구,세류3동,17671,8877,8794,3662,101,0.275805571,308,605,1220,1296,1305,1665,1467,706,305,298,627,1155,989,1191,1586,1575,875,498
4111355000,45412,경기도,수원시 권선구,평동,40712,20549,20163,9012,462,0.5126498,1389,1711,2863,3261,2973,3565,3082,1214,491,1245,1580,2558,2821,2781,3784,3080,1367,947
4111356000,45412,경기도,수원시 권선구,서둔동,37554,19186,18368,8234,264,0.320621812,887,1451,2876,3076,2924,3429,2892,1188,463,862,1255,2705,2380,2497,3322,2986,1457,904
4111365000,45412,경기도,수원시 권선구,구운동,22966,11658,11308,4749,129,0.271636134,480,859,1709,1687,1633,2236,1988,765,301,418,866,1489,1318,1444,2297,2006,887,583
4111366200,45412,경기도,수원시 권선구,금곡동,44535,21867,22668,10779,443,0.410984321,1709,2636,2901,3121,3835,3585,2625,1007,448,1679,2450,2814,2938,3922,4031,2737,1300,797
4111366400,45412,경기도,수원시 권선구,호매실동,44420,21990,22430,11174,674,0.603185967,2623,2617,2148,3295,4798,3022,2316,865,306,2354,2626,2144,3570,4409,3214,2450,1036,627
4111367000,45412,경기도,수원시 권선구,권선1동,24363,12482,11881,6578,162,0.246275464,453,750,2297,2730,1725,1997,1675,649,206,402,640,2528,2138,1559,1911,1625,649,429
4111368000,45412,경기도,수원시 권선구,권선2동,46117,22623,23494,11441,515,0.450135478,2055,2665,2952,3353,3881,3650,2822,936,309,1798,2482,2658,3378,4254,4299,3029,1003,593
4111369000,45412,경기도,수원시 권선구,곡선동,34767,18637,16130,8792,435,0.494767971,1136,1269,2884,4137,3349,3136,2010,518,198,1141,1313,2410,3082,2626,2932,1652,577,397
4111370000,45412,경기도,수원시 권선구,입북동,19778,10033,9745,4959,383,0.772333132,898,898,1237,2027,1534,1582,1203,487,167,801,798,1306,1791,1477,1583,1179,488,322
4111565000,45412,경기도,수원시 팔달구,매교동,21688,10959,10729,5738,461,0.803415824,1387,780,1220,2603,1872,1490,984,422,201,1254,717,1304,2505,1568,1460,1078,533,310
4111566000,45412,경기도,수원시 팔달구,매산동,9813,5382,4431,1898,63,0.331928346,167,237,859,883,781,973,892,421,169,168,192,673,595,520,751,813,421,298
4111567000,45412,경기도,수원시 팔달구,고등동,19439,9760,9679,4558,287,0.629662133,827,626,1213,1920,1540,1544,1213,630,247,806,630,1224,1642,1354,1516,1324,743,440
4111568000,45412,경기도,수원시 팔달구,화서1동,21236,10304,10932,4469,158,0.353546655,504,928,1380,1255,1495,1901,1680,819,342,515,935,1322,1073,1564,2077,1816,1026,604
4111569000,45412,경기도,수원시 팔달구,화서2동,24261,11919,12342,5744,270,0.47005571,754,1198,1730,1774,1591,2254,1717,596,305,662,1115,1682,1664,1789,2555,1649,718,508
4111570000,45412,경기도,수원시 팔달구,지동,9709,4931,4778,1625,39,0.24,135,284,634,580,670,926,961,509,232,125,232,527,419,547,795,1027,654,452
4111571000,45412,경기도,수원시 팔달구,우만1동,18618,9333,9285,3894,90,0.231124807,274,567,1547,1571,1261,1693,1433,712,275,297,494,1279,1214,1107,1608,1698,978,610
4111572000,45412,경기도,수원시 팔달구,우만2동,16828,8433,8395,4250,117,0.275294118,437,773,2016,1222,1109,1343,957,410,166,410,679,1649,1028,1208,1435,1135,513,338
4111573000,45412,경기도,수원시 팔달구,인계동,44963,22664,22299,12723,442,0.347402342,1343,1528,4001,4962,3691,3430,2298,989,422,1245,1524,4495,4046,3378,3214,2452,1171,774
4111574000,45412,경기도,수원시 팔달구,행궁동,9309,4923,4386,1742,27,0.154994259,111,179,599,665,650,941,1004,530,244,90,165,701,486,456,646,877,572,393
4111751000,45412,경기도,수원시 영통구,매탄1동,11639,5895,5744,2757,101,0.366340225,305,599,1045,773,908,1072,736,333,124,320,548,859,656,924,1078,778,389,192
4111752000,45412,경기도,수원시 영통구,매탄2동,13789,6897,6892,3136,78,0.24872449,324,665,1039,978,1024,1223,1042,438,164,288,558,995,840,992,1316,1081,489,333
4111753000,45412,경기도,수원시 영통구,매탄3동,34404,17833,16571,8793,253,0.287728875,998,1947,3334,3023,2867,3009,1764,623,268,941,1943,2595,2273,2889,2966,1722,737,505
4111754000,45412,경기도,수원시 영통구,매탄4동,20195,9830,10365,4962,168,0.338573156,421,883,1722,1683,1372,1754,1304,499,192,404,829,1559,1384,1528,1995,1546,669,451
4111755000,45412,경기도,수원시 영통구,원천동,45785,23078,22707,12767,572,0.448030078,2287,2551,3466,4107,4620,3093,1916,737,301,2160,2358,3401,3999,4369,2918,2015,909,578
